Production (2),2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,,,,,,,
United Kingdom,16444228.99,14383276.03,14836963.31,13554842.64,16224510.73,9657885.04,13987677.47,15539652.47,13979847.79,11145741.15,11958216.13,,,,,,,
Wales,"176,423","156,732","158,349","152,308","189,721","134,732","170,729","208,883","180,979","150,162","178,038",,,,,,,
